[Title],Medium,Type,Title,Author,Editor,Translator,Publisher,Year,Language,Genre,ISBN / Identifying Number,Accession #,Donor,Notes
[10 Starter Programs from Family Computing],Printed Matter,Magazine,10 Starter Programs from Family Computing,Joey Latimer,N/A,N/A,Scholastic Inc.,1983,English,Computer Magazine,0-590-39012-0,2013.07.854,Timothy P. Sweeney,"For Apple\, Atari\, Commodore 64 and VIC-20\, TI\, TIMEX and TRS-80."
[The 1995 Computer Bowl: The Obsessive Passion of Technology],Printed Matter,Magazine,The Obsessive Passion of Technology,N/A,N/A,N/A,"Apple Computer\, Inc.",1995,English,Computer,N/A,2014.06.7,Hal Shear,
[American Design Components],Printed Matter,Magazine,American Design Components,,,,American Design Components,,English,,,2014.10.49,,
"[ALLC Bulletin - Volume 4\, Number 2 - 1976]",Printed Matter,Journal,"ALLC Bulletin - Volume 4\, Number 2 - 1976",N/A,Joan M. Smith,N/A,Association for Literary and Linguistic Computing,1976,English,Computer Magazine,ISSN 0305-9855,2013.07.801,,
"[ALLC Bulletin - Volume 4\, Number 3 - 1976]",Printed Matter,Journal,"ALLC Bulletin - Volume 4\, Number 3 - 1976",N/A,Joan M. Smith,N/A,Association for Literary and Linguistic Computing,1976,English,Computer Magazine,ISSN 0305-9855,2013.07.800,,
"[ALLC Bulletin - Volume 6\, Number 2 - 1978]",Printed Matter,Journal,"ALLC Bulletin - Volume 6\, Number 2 - 1978",N/A,Frank E. Knowles and John L. Dawson,N/A,Association for Literary and Linguistic Computing,1978,English,Computer Magazine,ISSN 0305-9855,2013.07.803,,
"[ALLC Bulletin - Volume 6\, Number 3 - 1978]",Printed Matter,Journal,"ALLC Bulletin - Volume 6\, Number 3 - 1978",N/A,Frank E. Knowles and John L. Dawson,N/A,Association for Literary and Linguistic Computing,1978,English,Computer Magazine,ISSN 0305-9855,2013.07.802,,
"[ALLC Bulletin - Volume 7\, Number 1 - 1979]",Printed Matter,Journal,"ALLC Bulletin - Volume 7\, Number 1 - 1979",N/A,Susan M. Hockey,N/A,Association for Literary and Linguistic Computing,1979,English,Computer Magazine,ISSN 0305-9855,2013.07.797,,
"[ALLC Bulletin - Volume 7\, Number 2 - 1979]",Printed Matter,Journal,"ALLC Bulletin - Volume 7\, Number 2 - 1979",N/A,Susan M. Hockey,N/A,Association for Literary and Linguistic Computing,1979,English,Computer Magazine,ISSN 0305-9855,2013.07.796,,
"[ALLC Bulletin - Volume 8\, Number 1 - 1980]",Printed Matter,Journal,"ALLC Bulletin - Volume 8\, Number 1 - 1980",N/A,Susan M. Hockey,N/A,Association for Literary and Linguistic Computing,1980,English,Computer Magazine,ISSN 0305-9855,2013.07.799,,
"[ALLC Bulletin - Volume 8\, Number 3 - 1980]",Printed Matter,Journal,"ALLC Bulletin - Volume 8\, Number 3 - 1980",N/A,Susan M. Hockey,N/A,Association for Literary and Linguistic Computing,1980,English,Computer Magazine,ISSN 0305-9855,2013.07.798,,Incorrectly Dated “1981”
"[ALLC Bulletin - Volume 9\, Number 1 - 1981]",Printed Matter,Journal,"ALLC Bulletin - Volume 9\, Number 1 - 1981",N/A,Susan M. Hockey,N/A,Association for Literary and Linguistic Computing,1981,English,Computer Magazine,ISSN 0305-9855,2013.07.815,,
"[ALLC Bulletin - Volume 9\, Number 2 - 1981]",Printed Matter,Journal,"ALLC Bulletin - Volume 9\, Number 2 - 1981",N/A,Susan M. Hockey,N/A,Association for Literary and Linguistic Computing,1981,English,Computer Magazine,ISSN 0305-9855,2013.07.816,,
"[ALLC Bulletin - Volume 13\, Number 3 - 1985]",Printed Matter,Journal,"ALLC Bulletin - Volume 13\, Number 3 - 1985",N/A,Gordon Dixon,N/A,Association for Literary and Linguistic Computing,1985,English,Computer Magazine,ISSN 0305-9855,2013.07.817,,
"[ALLC Journal - Volume 1\, Number 1 - Summer 1980]",Printed Matter,Journal,"ALLC Journal - Volume 1\, Number 1 - Summer 1980",N/A,Rex Last,N/A,Association for Literary and Linguistic Computing,1980,English,Computer Magazine,ISSN 0143-3385,2013.07.814,,
"[ALLC Journal - Volume 2\, Number 1 - Summer 1981]",Printed Matter,Journal,"ALLC Journal - Volume 1\, Number 1 - Summer 1981",N/A,Rex Last and Brian Murdoch,N/A,Association for Literary and Linguistic Computing,1981,English,Computer Magazine,ISSN 0143-3385,2013.07.813,,
"[Antic: The ATARI Resource - Volume 1\, Number 2 - June 1982]",Printed Matter,Magazine,"The ATARI Resource - Volume 1\, Number 2 - June 1982",N/A,James Capparell,N/A,ANTIC Publishing,1982,English,Computer Magazine,N/A,2013.07.838,Timothy P. Sweeney,
"[Antic: The ATARI Resource - Volume 1\, Number 3 - August 1982]",Printed Matter,Magazine,"The ATARI Resource - Volume 1\, Number 3 - August 1982",N/A,James Capparell,N/A,ANTIC Publishing,1982,English,Computer Magazine,N/A,2013.07.837,Timothy P. Sweeney,
[APX - Atari Program Exchange - Software Catalog Fall Edition - 1982],Printed Matter,Magazine,APX - Atari Program Exchange - Software Catalog Fall Edition - 1982,N/A,Ann Kelcy,N/A,ATARI Program Exchange,1982,English,Computer Catalog,N/A,2013.07.840,Timothy P. Sweeney,“User-Written Software for ATARI Home Computer Systems”
[APX - Atari Program Exchange - Software Catalog Spring Edition - 1982],Printed Matter,Magazine,APX - Atari Program Exchange - Software Catalog Spring Edition - 1982,N/A,Ann Kelcy,N/A,ATARI Program Exchange,1982,English,Computer Catalog,N/A,2013.07.842,Timothy P. Sweeney,“User-Written Software for ATARI Home Computer Systems”
[APX - Atari Program Exchange - Software Catalog Summer Edition - 1982],Printed Matter,Magazine,APX - Atari Program Exchange - Software Catalog Summer Edition - 1982,N/A,Ann Kelcy,N/A,ATARI Program Exchange,1982,English,Computer Catalog,N/A,2013.07.841,Timothy P. Sweeney,“User-Written Software for ATARI Home Computer Systems”
[APX - Atari Program Exchange - Software Catalog Winter Edition - 1982-83],Printed Matter,Magazine,APX - Atari Program Exchange - Software Catalog Winter Edition - 1982-83,N/A,Ann Kelcy,N/A,ATARI Program Exchange,1982-83,English,Computer Catalog,N/A,2013.07.839,Timothy P. Sweeney,“User-Written Software for ATARI Home Computer Systems”
"[Atari Connection - Volume 2\, Number 1 - Spring 1982]",Printed Matter,Magazine,"Atari Connection - Volume 2\, Number 1 - Spring 1982",N/A,Ted Richards,N/A,Atari Inc.,1982,English,Computer Magazine,C017668-05,2013.07.835,Timothy P. Sweeney,
"[Atari Connection - Volume 2\, Number 4 - Winter 1982-93]",Printed Matter,Magazine,"Atari Connection - Volume 2\, Number 4 - Winter 1982-93",N/A,Ted Richards,N/A,Atari Inc.,1982-83,English,Computer Magazine,C017668-08,2013.07.834,Timothy P. Sweeney,
"[Atari Connection - Volume 3\, Number 1 - Spring 1983]",Printed Matter,Magazine,"Atari Connection - Volume 3\, Number 1 - Spring 1983",N/A,Ted Richards,N/A,Atari Inc.,1983,English,Computer Magazine,C017668-09,2013.07.833,Timothy P. Sweeney,
[Atari Special Editions - Volume 1 - Winter 1982],Printed Matter,Magazine,Atari Special Editions - Volume 1 - Winter 1982,N/A,N/A,N/A,Atari Inc.,1982,English,Computer Catalog,C060018 Rev. 1,2013.07.836,Timothy P. Sweeney,“Catalog of Additional Products For Your Atari Home Computer”
[Automated Analysis of Language Style and Structure: 1969-1970],Printed Matter,Journal,1969-1970,"Sally Y. Sedelow\, et al. (Office of Naval Research\, U. S. Navy)",N/A,N/A,University of North Carolina at Chapel Hill,1970,English,Journal,Contract N00014-67-A-0321-001,2013.08.11,Aaron Kuhn,"Report on research for the period March 1\, 1969 - August 31\, 1970. Research conducted under Office of Naval Research\, U.S. Navy\, Task No. NR348-005."
[The Best of Family Computing],Printed Matter,Magazine,The Best of Family Computing,Joel Latimer,Claudia Cohl,N/A,Scholastic Inc.,1985,English,Computer Magazine,ISBN 0-590-39044-9,2013.07.847,Timothy P. Sweeney,
"[BYTE: The Small Systems Journal - Volume 5\, No. 7]",Printed Matter,Magazine,"The Small Systems Journal - Volume 5\, No. 7",N/A,Christopher P. Morgan,N/A,BYTE Publications Inc,1980,English,Magazine,ISSN 0360-5280,2015.09.27,,
"[BYTE: The Small Systems Journal - Vol. 10\, No. 9 - September 1985]",Printed Matter,Magazine,"The Small Systems Journal - Vol. 10\, No. 9 - September 1985",N/A,Philip Lemmons,N/A,McGraw-Hill,1985,English,Computer Magazine,ISSN 0360-5280,2013.10.31,Brad Feld,
"[BYTE: The Small Systems Journal - Vol. 10\, No. 10 - October 1985]",Printed Matter,Magazine,"The Small Systems Journal - Vol. 10\, No. 10 - October 1985",N/A,Philip Lemmons,N/A,McGraw-Hill,1985,English,Computer Journal,ISSN 0360-5280,2013.10.30,Brad Feld,
"[BYTE: The Small Systems Journal - Vol. 10\, No. 11 - November 1985]",Printed Matter,Magazine,"The Small Systems Journal - Vol. 10\, No. 11 - November 1985",N/A,Philip Lemmons,N/A,McGraw-Hill,1985,English,Computer Journal,ISSN 0360-5280,2013.10.29,Brad Feld,
"[BYTE: The Small Systems Journal - Vol. 10\, No. 12 - December 1985]",Printed Matter,Magazine,"The Small Systems Journal - Vol. 10\, No. 12 - December 1985",N/A,Philip Lemmons,N/A,McGraw-Hill,1985,English,Computer Journal,ISSN 0360-5280,2013.10.28,Brad Feld,
[Call-A.P.P.L.E. In Depth - Number One],Printed Matter,Magazine,Call-A.P.P.L.E. In Depth - Number One,Apple PugetSound Program Library Exchange,Val J. Golding,N/A,Apple PugetSound Program Library Exchange,1981,English,Computer Magazine,N/A,2013.10.84,Brad Feld,
[The Computer Museum: Annual Report],Printed Matter,Magazine,Annual Report,N/A,N/A,N/A,Atlantic Printing Company,1998,English,Computer,N/A,2014.06.6,Hal Shear,
[The Computer Museum’s 1996 Computer Bowl],Printed Matter,Magazine,The Computer Museum’s 1996 Computer Bowl,N/A,N/A,N/A,N/A,1996,English,Computer,N/A,2014.06.8,Hal Shear,
[Computer Shopper: The Computer Magazine for Direct Buyers - July 1994 (14.7)],Printed Matter,Magazine,The Computer Magazine for Direct Buyers - July 1994 (14.7),N/A,John Blackford,N/A,Ziff-Davis,1994,English,Computer Catalogue--Shopping,ISSN 0886-0556,2013.07.828,Aaron Kuhn,"Volume 14\, Number 7\, Issue 172"
[Computers in Literary and Linguistic Research],Printed Matter,Journal,Computers in Literary and Linguistic Research,N/A,N/A,Not Listed,Association for Literary and Linguistic Computing,1984,English/French,Program,N/A,2013.07.652,Aaron Kuhn,2-6 April 1984
[Commodore Magazine],Printed Matter,Magazine,Commodore Magazine,,Carol Minton,,Commodore Magazine Inc.,1987,English,Gaming,,2014.10.48,,
"[Creative Computing: Volume 7\, No. 4]",Printed Matter,Magazine,"Volume 7\, No.4",N/A,David H. Ahl,N/A,Ahl Computing Inc.,1981,English,Magazine,,2015.09.29,,
"[Creative Computing: Volume 8\, No. 6]",Printed Matter,Magazine,"Volume 8\, No. 6",N/A,David H. Ahl,N/A,Ahl Computing Inc.,1982,English,Magazine,ISSN 0097-8140,2015.09.28,,
[Executive’s Review & Guide to Smartware: For Personal Computer Success - Volume 10],Printed Matter,Magazine,For Personal Computer Success - Volume 10,Smartware,N/A,N/A,Smartware,1985,English,Computer Catalog,N/A,2013.10.90,Brad Feld,
"[Family Computing - Volume 1\, Number 2 - October 1983]",Printed Matter,Magazine,"Family Computing - Volume 1\, Number 2 - October 1983",N/A,Claudia Cohl,N/A,Scholastic Inc.,1983,English,Computer Magazine,76956-14008,2013.07.853,Timothy P. Sweeney,
"[Family Computing - Volume 1\, Number 3 - November 1983]",Printed Matter,Magazine,"Family Computing - Volume 1\, Number 3 - November 1983",N/A,Claudia Cohl,N/A,Scholastic Inc.,1983,English,Computer Magazine,76956-14008,2013.07.852,Timothy P. Sweeney,
"[Family Computing - Volume 1\, Number 4 - December 1983]",Printed Matter,Magazine,"Family Computing - Volume 1\, Number 4 - December 1983",N/A,Claudia Cohl,N/A,Scholastic Inc.,1983,English,Computer Magazine,76956-14008,2013.07.851,Timothy P. Sweeney,
"[Family Computing - Volume 2\, Number 1 - January 1984]",Printed Matter,Magazine,"Family Computing - Volume 2\, Number 1 - January 1984",N/A,Claudia Cohl,N/A,Scholastic Inc.,1984,English,Computer Magazine,76956-14008,2013.07.850,Timothy P. Sweeney,
"[Family Computing - Volume 2\, Number 4 - April 1984]",Printed Matter,Magazine,"Family Computing - Volume 2\, Number 4 - April 1984",N/A,Claudia Cohl,N/A,Scholastic Inc.,1984,English,Computer Magazine,76956-14008,2013.07.849,Timothy P. Sweeney,
"[Family Computing - Volume 3\, Number 11 - November 1985]",Printed Matter,Magazine,"Family Computing - Volume 3\, Number 11 - November 1995",N/A,Claudia Cohl,N/A,Scholastic Inc.,1985,English,Computer Magazine,76956-14008,2013.07.848,Timothy P. Sweeney,
"[Family Computing - Volume 4\, Number 2 - February 1986]",Printed Matter,Magazine,"Family Computing - Volume 4\, Number 2 - February 1986",N/A,Claudia Cohl,N/A,Scholastic Inc.,1986,English,Computer Magazine,76956-14008,2013.07.846,Timothy P. Sweeney,
"[Family Computing - Volume 4\, Number 5 - May 1986]",Printed Matter,Magazine,"Family Computing - Volume 4\, Number 5 - May 1986",N/A,Claudia Cohl,N/A,Scholastic Inc.,1986,English,Computer Magazine,76956-14008,2013.07.845,Timothy P. Sweeney,
"[Family Computing - Volume 4\, Number 6 - June 1986]",Printed Matter,Magazine,"Family Computing - Volume 4\, Number 6 - June 1986",N/A,Claudia Cohl,N/A,Scholastic Inc.,1986,English,Computer Magazine,76956-14008,2013.07.844,Timothy P. Sweeney,
"[Family Computing - Volume 4\, Number 8 - August 1986]",Printed Matter,Magazine,"Family Computing - Volume 4\, Number 8 - August 1986",N/A,Claudia Cohl,N/A,Scholastic Inc.,1986,English,Computer Magazine,76956-14008,2013.07.843,Timothy P. Sweeney,
"[Filevision Magazine - Volume 1\, Number 3\, Fall 1985]",Printed Matter,Magazine,"Filevision Magazine - Volume 1\, Number 3\, Fall 1985",Filevision,Darline Aryai,N/A,Telos Software Products,1985,English,Computer Magazine,N/A,2013.10.91,Brad Feld,
